Table Name Index System Call              Handler Address    Symbol                                                      
64bit        149                          0xffffffff81191790 SyS_mlock                                                   
64bit        150                          0xffffffff811918b0 SyS_munlock                                                 
64bit        151                          0xffffffff81191930 sys_mlockall                                                
64bit        152                          0xffffffff81191ac0 sys_munlockall                                              
64bit        153                          0xffffffff811d2ea0 sys_vhangup                                                 
64bit        154                          0xffffffff810165c0 sys_modify_ldt                                              
64bit        155                          0xffffffff811f5d20 SyS_pivot_root                                              
64bit        156                          0xffffffff81077330 sys_sysctl                                                  
64bit        157                          0xffffffff81085950 sys_prctl                                                   
64bit        158                          0xffffffff810121f0 sys_arch_prctl                                              
64bit        159                          0xffffffff810720e0 sys_adjtimex                                                
64bit        160                          0xffffffff81085830 SyS_setrlimit                                               
64bit        161                          0xffffffff811d2360 sys_chroot                                                  
64bit        162                          0xffffffff81203030 sys_sync                                                    
64bit        163                          0xffffffff810f0130 sys_acct                                                    
64bit        164                          0xffffffff81072040 SyS_settimeofday                                            
64bit        165                          0xffffffff811f5ba0 sys_mount                                                   
64bit        166                          0xffffffff811f4590 SyS_umount                                                  
64bit        167                          0xffffffff811a0fb0 SyS_swapon                                                  
64bit        168                          0xffffffff811a38d0 sys_swapoff                                                 
64bit        169                          0xffffffff81097420 SyS_reboot                                                  
64bit        170                          0xffffffff81085060 SyS_sethostname                                             
64bit        171                          0xffffffff81085200 sys_setdomainname                                           
64bit        172                          0xffffffff8176b190 stub_iopl                                                   
64bit        173                          0xffffffff81015d40 sys_ioperm                                                  
64bit        174                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        175                          0xffffffff810ee0a0 SyS_init_module                                             
64bit        176                          0xffffffff810eb5b0 SyS_delete_module                                           
64bit        177                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        178                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        179                          0xffffffff81233020 sys_quotactl                                                
64bit        180                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        181                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        182                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        183                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        184                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        185                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        186                          0xffffffff810847f0 sys_gettid                                                  
64bit        187                          0xffffffff8116dd90 sys_readahead                                               
64bit        188                          0xffffffff811f8a90 sys_setxattr                                                
64bit        189                          0xffffffff811f8b70 SyS_lsetxattr                                               
64bit        190                          0xffffffff811f8c40 sys_fsetxattr                                               
64bit        191                          0xffffffff811f8d20 SyS_getxattr                                                
64bit        192                          0xffffffff811f8db0 sys_lgetxattr                                               
64bit        193                          0xffffffff811f8e40 sys_fgetxattr                                               
64bit        194                          0xffffffff811f8f10 SyS_listxattr                                               
64bit        195                          0xffffffff811f8fa0 sys_llistxattr                                              
64bit        196                          0xffffffff811f9020 sys_flistxattr                                              
64bit        197                          0xffffffff811f90e0 SyS_removexattr                                             
64bit        198                          0xffffffff811f9190 sys_lremovexattr                                            
64bit        199                          0xffffffff811f9240 SyS_fremovexattr                                            
64bit        200                          0xffffffff81081680 SyS_tkill                                                   
64bit        201                          0xffffffff81071e50 SyS_time                                                    
64bit        202                          0xffffffff810e6dc0 SyS_futex                                                   
64bit        203                          0xffffffff810a1c20 SyS_sched_setaffinity                                       
64bit        204                          0xffffffff810a0930 sys_sched_getaffinity                                       
64bit        205                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        206                          0xffffffff8121cbf0 sys_io_setup                                                
64bit        207                          0xffffffff8121d5a0 SyS_io_destroy                                              
64bit        208                          0xffffffff8121dcd0 SyS_io_getevents                                            
64bit        209                          0xffffffff8121db50 sys_io_submit                                               
64bit        210                          0xffffffff8121db70 SyS_io_cancel                                               
64bit        211                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        212                          0xffffffff8124b170 SyS_lookup_dcookie                                          
64bit        213                          0xffffffff812178e0 sys_epoll_create                                            
64bit        214                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        215                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        216                          0xffffffff811882a0 sys_remap_file_pages                                        
64bit        217                          0xffffffff811e7210 SyS_getdents64                                              
64bit        218                          0xffffffff8106cd80 SyS_set_tid_address                                         
64bit        219                          0xffffffff81080b20 sys_restart_syscall                                         
64bit        220                          0xffffffff812d8540 sys_semtimedop                                              
64bit        221                          0xffffffff81165800 sys_fadvise64                                               
64bit        222                          0xffffffff8108ffc0 sys_timer_create                                            
64bit        223                          0xffffffff81090670 sys_timer_settime                                           
64bit        224                          0xffffffff81090520 sys_timer_gettime                                           
64bit        225                          0xffffffff81090620 sys_timer_getoverrun                                        
64bit        226                          0xffffffff81090860 SyS_timer_delete                                            
64bit        227                          0xffffffff81090b40 SyS_clock_settime                                           
64bit        228                          0xffffffff81090bf0 sys_clock_gettime                                           
64bit        229                          0xffffffff81090ca0 SyS_clock_getres                                            
64bit        230                          0xffffffff81090d50 sys_clock_nanosleep                                         
64bit        231                          0xffffffff81070ae0 SyS_exit_group                                              
