Access Date;Access Time;Modify Date;Modify Time;Create Date;Create Time;Permissions;UID;Username;GID;Groupname;Size;File
02/09/2021;19:13:38.7502919320;02/17/2014;05:04:33.0000000000;03/05/2015;22:38:02.5845374790;755;0;root;0;root;307328;/bin/ip
02/09/2021;19:21:15.0783423680;05/23/2013;05:04:48.0000000000;03/05/2015;22:38:02.4885374760;755;0;root;0;root;14688;/bin/chacl
02/09/2021;19:11:50.9884385620;03/05/2015;22:38:02.6965374830;03/05/2015;22:38:02.6965374830;777;0;root;0;root;4;/bin/sh.distrib
02/09/2021;19:21:15.0783423680;12/18/2013;10:36:04.0000000000;03/05/2015;22:38:02.6725374820;755;0;root;0;root;31928;/bin/ntfsls
02/09/2021;19:21:15.0783423680;12/18/2013;10:36:04.0000000000;03/05/2015;22:38:02.6805374830;755;0;root;0;root;43632;/bin/ntfswipe
02/09/2021;19:21:15.0783423680;01/13/2015;22:50:14.0000000000;03/05/2015;22:38:02.6885374830;755;0;root;0;root;31392;/bin/pwd
02/09/2021;19:11:10.2664519990;10/07/2014;15:22:12.0000000000;03/05/2015;22:38:02.4565374740;755;0;root;0;root;1021112;/bin/bash
02/09/2021;19:21:15.0863463690;08/05/2014;11:44:35.0000000000;03/05/2015;22:38:02.6565374820;755;0;root;0;root;119624;/bin/netstat
02/09/2021;19:11:50.9884385620;03/05/2015;22:38:02.6965374830;03/05/2015;22:38:02.6965374830;777;0;root;0;root;7;/bin/static-sh
02/09/2021;19:21:15.0863463690;02/12/2015;13:53:38.0000000000;03/05/2015;22:38:02.6045374800;755;0;root;0;root;39600;/bin/more
02/09/2021;19:21:15.0863463690;12/18/2013;10:36:04.0000000000;03/05/2015;22:38:02.6645374820;755;0;root;0;root;18432;/bin/ntfs-3g.usermap
02/09/2021;19:21:15.0903483690;03/09/2015;21:33:42.4007812020;03/09/2015;21:33:42.4007812020;755;0;root;0;root;1021112;/bin/false
02/09/2021;19:11:07.7584519990;01/18/2014;12:12:28.0000000000;03/05/2015;22:38:02.5645374780;755;0;root;0;root;191952;/bin/grep
02/09/2021;19:11:10.4424519990;12/16/2013;06:26:35.0000000000;03/05/2015;22:38:02.5565374780;4755;0;root;0;root;30800;/bin/fusermount
02/09/2021;19:11:07.6624519990;03/05/2015;22:38:02.6965374830;03/05/2015;22:38:02.6965374830;777;0;root;0;root;4;/bin/sh
02/09/2021;19:11:09.2784519990;08/28/2013;01:42:42.0000000000;03/05/2015;22:38:02.7205374840;755;0;root;0;root;946;/bin/which
02/09/2021;19:21:15.0983523680;01/10/2014;05:05:28.0000000000;03/05/2015;22:38:02.7245374840;755;0;root;0;root;1912;/bin/zmore
02/09/2021;19:21:15.0983523680;12/18/2013;10:36:04.0000000000;03/05/2015;22:38:02.6645374820;755;0;root;0;root;26728;/bin/ntfscat
