Access Date;Access Time;Modify Date;Modify Time;Create Date;Create Time;Permissions;UID;Username;GID;Groupname;Size;File
02/19/2014;08:32:43.0000000000;02/19/2014;08:32:43.0000000000;03/05/2015;22:38:28.3938148910;755;0;root;0;root;20080;/usr/bin/min12xxw
01/10/2014;09:36:28.0000000000;01/10/2014;09:36:28.0000000000;03/05/2015;22:38:24.9738147620;755;0;root;0;root;276;/usr/bin/apg
02/09/2021;19:11:09.7904519990;01/26/2015;19:34:54.0000000000;03/05/2015;22:38:24.9018147590;6755;0;root;0;root;10192;/usr/bin/X
03/05/2015;22:38:27.7818148680;03/05/2015;22:38:27.7818148680;03/05/2015;22:38:27.7818148680;777;0;root;0;root;7;/usr/bin/gold
08/16/2013;03:50:30.0000000000;08/16/2013;03:50:30.0000000000;03/05/2015;22:38:31.3018150010;755;0;root;0;root;10472;/usr/bin/xlsatoms
06/05/2014;18:25:35.0000000000;06/05/2014;18:25:35.0000000000;03/05/2015;22:38:25.8258147940;755;0;root;0;root;10512;/usr/bin/fc-list
01/16/2014;23:20:13.0000000000;01/16/2014;23:20:13.0000000000;03/05/2015;22:38:24.9738147620;755;0;root;0;root;60808;/usr/bin/aplay
02/18/2013;08:55:53.0000000000;02/18/2013;08:55:53.0000000000;03/05/2015;22:38:29.6738149400;755;0;root;0;root;10464;/usr/bin/setlogcons
07/01/2014;11:35:00.0000000000;07/01/2014;11:35:00.0000000000;03/05/2015;22:38:28.8298149080;755;0;root;0;root;647;/usr/bin/ps2ps
01/13/2015;22:50:14.0000000000;01/13/2015;22:50:14.0000000000;03/05/2015;22:38:29.2458149240;755;0;root;0;root;31424;/usr/bin/runcon
02/09/2021;19:11:09.4104519990;03/27/2014;14:52:36.0000000000;03/05/2015;22:38:28.7698149060;755;0;root;0;root;10416;/usr/bin/perl
04/08/2014;17:12:47.0000000000;04/08/2014;17:12:47.0000000000;03/05/2015;22:38:28.3418148900;755;0;root;0;root;105432;/usr/bin/lsusb
01/16/2014;23:20:13.0000000000;01/16/2014;23:20:13.0000000000;03/05/2015;22:38:24.9698147620;755;0;root;0;root;19008;/usr/bin/amidi
01/13/2015;22:50:14.0000000000;01/13/2015;22:50:14.0000000000;03/05/2015;22:38:28.2858148870;755;0;root;0;root;27200;/usr/bin/link
02/18/2013;08:55:45.0000000000;02/18/2013;08:55:45.0000000000;03/05/2015;22:38:30.8898149860;755;0;root;0;root;530;/usr/bin/unicode_stop
